secid,date,cp_flag,index_flag,days,cusip,ticker,sic,exchange_d,class,issue_type,industry_group,delta,impl_volatility,impl_strike,impl_premium,dispersion,_1_MO,_2_MO,_3_MO,_6_MO,_1_YR,_2_YR,_3_YR,_5_YR,_7_YR,_10_YR,_30_YR,close
108105,02SEP08,C,1,30,64881510,SPX,9999,32768,,A,,90,0.247185,1169.448,112.8402,0.009174,1.64,1.72,1.72,1.93,2.12,2.26,2.51,3,3.37,3.74,4.36,1277.58
108105,02SEP08,C,1,30,64881510,SPX,9999,32768,,A,,85,0.242257,1191.785,93.24032,0.009215,1.64,1.72,1.72,1.93,2.12,2.26,2.51,3,3.37,3.74,4.36,1277.58
